Name,Type,SubType,Suburb,Rating,PriceLevel,RankingPosition,Address,Latitude,Longitude,NumberOfReviews
Little Billy,Restaurant,,Melbourne,4,$$ - $$$,258,"Shop W2 195 William St, Melbourne, Victoria 3000 Australia",-37.8146578,144.9574246,162
Universal Restaurant,Restaurant,,Carlton,4,$$ - $$$,257,"141 Lygon Street Carlton, Melbourne, Victoria 3053 Australia",-37.8038454,144.9661208,363
Pho Bo Ga Mekong,Restaurant,,Melbourne,4,$,269,"241 Swanston St, Melbourne, Victoria 3000 Australia",-37.8123638,144.964862,448
Gradi Crown,Restaurant,,Southbank,4,$$ - $$$,246,"Crown Entertainment Complex 8 Whiteman St Shop 25, Melbourne, Victoria 3006 Australia",-37.8235301,144.9580953,1093
Mr. Hive,Restaurant,,Southbank,4,$$ - $$$,289,"Level 1, Crown Metropol 8 Whiteman Street, Melbourne, Victoria Australia",-37.8257525,144.9576725,456
Gordon's Cafe & Bar,Restaurant,,Melbourne,4,$$ - $$$,292,"306 Little Collins St Shop 4, Melbourne, Victoria 3000 Australia",-37.814879,144.9644211,147
Oriental Spoon,Restaurant,,Melbourne,4,$$ - $$$,295,"254 La Trobe St, Melbourne, Victoria 3000 Australia",-37.8100479,144.9617729,217
Windows Restaurant,Restaurant,,Melbourne,4,$$ - $$$,272,"65 Queens Rd, Melbourne, Victoria 3004 Australia",-37.8500935,144.978566,208
Grill'd Degraves St,Restaurant,,Melbourne,4,$,263,"15 Degraves St, Melbourne, Victoria 3000 Australia",-37.817761,144.9660313,219
Topolino's,Restaurant,,St Kilda,4,$$ - $$$,12,"87 Fitzroy St, St Kilda, Port Phillip, Victoria 3182 Australia",-37.8604875,144.9766344,386
Kirks Wine Bar,Restaurant,,Melbourne,4,$$ - $$$,243,"Cnr Hardware Lane and Little Bourke, Melbourne, Victoria 3000 Australia",-37.8136852,144.9612606,217
ShanDong MaMa,Restaurant,,Melbourne,4,$,271,"200 Bourke St Mid City Centre, Shop 7, Melbourne, Victoria 3000 Australia",-37.8128004,144.9674292,220
Simply Spanish,Restaurant,,South Melbourne,4,$$ - $$$,222,"116 Cecil St, Melbourne, Victoria 3205 Australia",-37.8320736,144.9559889,251
Republica,Restaurant,,St Kilda,4,$$ - $$$,11,"10-18 Jacka Boulevard St. Kilda Sea Baths, St Kilda, Port Phillip, Victoria 3182 Australia",-37.8652736,144.9717383,492
Tsindos-The Greeks Restaurant,Restaurant,,Melbourne,4,$$ - $$$,88,"197 Lonsdale St, Melbourne, Victoria 3000 Australia",-37.811264,144.9665725,718
Melbourne Hwaro Korean Barbecue,Restaurant,,Melbourne,4,$$ - $$$,285,"Level Ground 562 Little Bourke St, Melbourne, Victoria 3000 Australia",-37.8150065,144.95572,141
Don Don Japanese,Restaurant,,Melbourne,4,$,274,"198 Little Lonsdale St, Melbourne, Victoria 3000 Australia",-37.8107238,144.9635346,241
Beer DeLuxe,Restaurant,,Melbourne,4,$$ - $$$,277,"Federation Square Corner Swanston and Flinders Streets, Melbourne, Victoria 3000 Australia",-37.8179789,144.9690576,304
Grill'd QV,Restaurant,,Melbourne,4,$$ - $$$,309,"Level 2, Queen Victoria Square, Melbourne, Victoria 3000 Australia",-37.8186366,144.9626638,235
Abbey Road Cafe,Restaurant,,St Kilda,4,$$ - $$$,10,"129-131 Acland St, St Kilda, Port Phillip, Victoria 3182 Australia",-37.8686333,144.9793638,805
The Meat & Wine Co Hawthorn East,Restaurant,,Hawthorn,4,$$ - $$$,3,"482 Riversdale Rd, Hawthorn, Boroondara, Victoria 3123 Australia",-37.8315263,145.0564153,417
The Boatbuilders Yard,Restaurant,,South Wharf,4,$$ - $$$,211,"23 South Wharf Prom, Melbourne, Victoria 3006 Australia",-37.8241268,144.9529815,680
400 Gradi,Restaurant,,Brunswick,4,$$ - $$$,1,"99 Lygon St, Brunswick West, Moreland, Victoria 3057 Australia",-37.7760072,144.9706798,773
Belgian Beer Cafe,Restaurant,,Southbank,4,$$ - $$$,300,"5 Riverside Qy Southbank, Melbourne, Victoria 3006 Australia",-37.8215252,144.9644112,256
L'Hotel Gitan,Restaurant,,Prahran,4,$$ - $$$,2,"32 Commercial Rd, Prahran, Stonnington, Victoria 3181 Australia",-37.8461214,144.9868829,256
Hawker Hall,Restaurant,,Windsor,4,$$ - $$$,4,"98 Chapel St, Windsor, Stonnington, Victoria 3181 Australia",-37.8545419,144.9930685,506
Royal Stacks,Restaurant,,Melbourne,4,$,256,"470 Collins St, Melbourne, Victoria 3000 Australia",-37.8176172,144.9584134,169
