name,rankingPosition,priceLevel,category,rating,address,Latitude,Longitude,numberOfReviews
Epocha,128,$$$$,restaurant,4.5,"49 Rathdowne St Carlton South, Melbourne, Victoria 3053 Australia",-37.8059343,144.96879,254
Magic Mountain Saloon,148,$$ - $$$,restaurant,4,"62 Little Collins St, Melbourne, Victoria 3000 Australia",-37.81281,144.971442,289
The Bank on Collins,98,$$ - $$$,restaurant,4,"394 Collins St, Melbourne, Victoria 3000 Australia",-37.8167434,144.9612062,393
Ponyfish Island,115,$$ - $$$,restaurant,4,"Underneath Evan Walker Pedestrian Bridge Southbank, Melbourne, Victoria 3006 Australia",-37.8199057,144.9650109,479
IL Dolce Freddo,146,$,restaurant,4.5,"116 Lygon Street, Carlton, Melbourne, Victoria 3053 Australia",-37.8042985,144.9665411,175
Osteria Ilaria,120,$$ - $$$,restaurant,4.5,"367 Little Bourke St, Melbourne, Victoria 3000 Australia",-37.8136094,144.9618977,248
Juicy Bao,123,$,restaurant,4.5,"178-190 Little Bourke St Shop 2, Melbourne, Victoria 3000 Australia",-37.8118913,144.9669625,365
Fitzrovia,3,$$ - $$$,restaurant,4.5,"155 Fitzroy St, St Kilda, Port Phillip, Victoria 3182 Australia",-37.8589853,144.9792654,732
Trattoria Emilia,141,$$ - $$$,restaurant,4.5,"360 Little Collins St Little Collins Street, Melbourne, Victoria 3000 Australia",-37.815333,144.9626731,261
Maha,45,$$$$,restaurant,4.5,"21 Bond St, Melbourne, Victoria 3000 Australia",-37.8181528,144.962662,1702
Tiamo,144,$$ - $$$,restaurant,4,"303 Lygon St Carlton, Melbourne, Victoria 3053 Australia",-37.7981962,144.9670955,726
Vivace,1,$$ - $$$,restaurant,4.5,"317 Bay St, Brighton, Bayside, Victoria 3186 Australia",-37.9054646,145.0030601,408
Conservatory,108,$$$$,restaurant,4,"Crown Entertainment Complex 8 Whiteman St 8 Whiteman St, Southbank, Melbourne, Victoria 3006 Australia",-37.8235301,144.9580953,1129
Dukes Coffee Roasters,89,$,restaurant,4.5,"247 Flinders Lane, Melbourne, Victoria 3000 Australia",-37.8168963,144.9660953,182
Trunk,129,$$ - $$$,restaurant,4,"275 Exhibition St, Melbourne, Victoria 3000 Australia",-37.8093611,144.9689708,769
Becco,124,$$$$,restaurant,4.5,"11-25 Crossley St, Melbourne, Victoria 3000 Australia",-37.8114384,144.9709133,378
Sally's Kitchen and Winebar,131,$$ - $$$,restaurant,4.5,"115 Little Lonsdale St, Melbourne, Victoria 3000 Australia",-37.8094188,144.9685701,232
Higher Ground,134,$$ - $$$,restaurant,4,"650 Little Bourke St, Melbourne, Victoria 3000 Australia",-37.8157491,144.9530438,713
The Recreation bistro x bottleshop,143,$$ - $$$,restaurant,4.5,"162-170 Queens Parade, Fitzroy North, Melbourne, Victoria 3068 Australia",-37.7905673,144.9852208,109
Pellegrini's Espresso Bar,127,$,restaurant,4,"66 Bourke St, Melbourne, Victoria 3000 Australia",-37.8116808,144.9711915,1067
DoDee Paidang Thai Bar and Cafe,117,$,restaurant,4.5,"353 Little Collins St, Melbourne, Victoria 3000 Australia",-37.8158988,144.9631565,185
Ca de Vin,136,$$ - $$$,restaurant,4,"350 Bourke St Melbourne GPO, Melbourne, Victoria 3000 Australia",-37.8135391,144.9632758,523
Terra Rossa Restaurant & Bar,137,$$ - $$$,restaurant,4,"87 Flinders Lane, Melbourne, Victoria 3000 Australia",-37.8152624,144.9713399,458
Noir,3,$$$$,restaurant,4.5,"175 Swan St, Richmond, Yarra, Victoria 3121 Australia",-37.8254928,144.997523,234
Bistro Thierry,1,$$$$,restaurant,4.5,"511 Malvern Rd, Toorak, Stonnington, Victoria 3142 Australia",-37.8479337,145.0035105,540
Bouzy Rouge,2,$$ - $$$,restaurant,4.5,"470 Bridge Rd, Richmond, Yarra, Victoria 3121 Australia",-37.8195644,145.0071607,358
Sake Restaurant & Bar,180,$$ - $$$,restaurant,4,"100 St Kilda Rd Hamer Hall, Arts Centre, Melbourne, Victoria 3004 Australia",-37.8201455,144.9679946,725
Ginger Olive Restaurant and Grill,164,$$ - $$$,restaurant,5,"U 2 38 Manchester Lane Corner Manchester Lane and Flinders Lane, Melbourne, Victoria 3000 Australia",-37.8164935,144.9662126,80
Mercadante Woodfired Pizzeria,175,$$ - $$$,restaurant,4.5,"Shop 123, Lygon St Carlton, Melbourne, Victoria 3053 Australia",-37.8040987,144.966046,365
Palermo,166,$$ - $$$,restaurant,4.5,"401 Little Bourke St, Melbourne, Victoria 3000 Australia",-37.813901,144.9609941,143
